Of ^in++++=Of
haste ^nn++++=haste
and ^cc++++=and
fall ^nn++++=fall
into ^in++++=into
line ^nn++++=line
between ^in++++=between
two ^cd++++=two
rows ^nns++++=rows
of ^in++++=of
policemen ^nns++++=policemen.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
of ^in++++=of
the ^ati++++=the
worshippers ^nns+nom+++=worshippers
lay ^vbd+++xvbn+=lay
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
severely ^rb++++=severely
wounded ^jj+atrb++xvbn+=wounded
ones ^cd1s++++=ones
were ^vbd+bed+aux++=were
carried ^vpsv++agls+xvbnx+=carried
away ^rp+pl+++=away
on ^in++++=on
improvised ^vbd+++xvbn+=improvised
stretchers ^nns+nom+++=stretchers
by ^in++++=by
their ^pp$+pp3+++=their
fellow ^jjb++++=fellow-prisoners.
- ^zz++++=EXTRAWORD
prisoners ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
image ^nn++++=image
on ^in++++=on
the ^ati++++=the
monolith ^nn+++??+=monolith,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
carefully ^rb++splt++=carefully
removed ^vpsv++agls+xvbnx+=removed
and ^cc+phrs+++=and
carried ^vbd+++xvbn+=carried
back ^rb+phrv+++=back
by ^in++++=by
Legrasse ^np+++??+=Legrasse.
. ^zz++++=EXTRAWORD
Examined ^xvbn+++xvbn+=Examined
at ^rb++++=at
headquarters ^nns+nom+++=headquarters
after ^in++++=after
a ^at++++=a
trip ^nn++++=trip
of ^in++++=of
intense ^jj+atrb+++=intense
strain ^nn++++=strain
and ^cc++++=and
weariness ^nns+nom+++=weariness,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prisoners ^nns+nom+++=prisoners
all ^abn++++=all
proved ^vb+++xvbn+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
men ^nns++++=men
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
low ^jj++++=low,
, ^zz++++=EXTRAWORD
mixed ^j+++xvbn+=mixed-blooded,
- ^zz++++=EXTRAWORD
blooded ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mentally ^rb++++=mentally
aberrant ^jj+atrb+++=aberrant
type ^nn++++=type.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
were ^vbd+bed+vrb++=were
seamen ^nns++++=seamen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
sprinkling ^nn+nom+++=sprinkling
of ^in++++=of
negroes ^nns+++??+=negroes
and ^cc++++=and
mulattos ^nns+++??+=mulattos,
, ^zz++++=EXTRAWORD
largely ^rb++++=largely
West ^np+pl+++=West
Indians ^nn++++=Indians
or ^cc++++=or
Brava ^np+++??+=Brava
Portuguese ^nn+nom+++=Portuguese
from ^in++++=from
the ^ati++++=the
Cape ^np++++=Cape
Verde ^np+++??+=Verde
Islands ^nns++++=Islands,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
a ^at++++=a
colouring ^jj+++xvbg+=colouring
of ^in++++=of
voodooism ^nn+nom+++=voodooism
to ^in++++=to
the ^ati++++=the
heterogeneous ^jj+atrb+++=heterogeneous
cult ^nn++++=cult.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
before ^cs+sub+++=before
many ^ap++++=many
questions ^nns+nom+++=questions
were ^vbd+bed+aux++=were
asked ^vpsv++agls+xvbnx+=asked,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
manifest ^jj++++=manifest
that ^dt+dem+++=that
something ^pn++++=something
far ^rb+pl+++=far
deeper ^jjr++++=deeper
and ^cc+phrs+++=and
older ^jjr++++=older
than ^in++++=than
negro ^nn++++=negro
fetishism ^nn+nom+++=fetishism
was ^vbd+bedz+aux++=was
involved ^vpsv++agls+xvbnx+=involved.
. ^zz++++=EXTRAWORD
Degraded ^np+++??+=Degraded
and ^cc++++=and
ignorant ^jj++++=ignorant
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
the ^ati++++=the
creatures ^nns++++=creatures
held ^vbd+vprv++xvbn+=held
with ^in+ppvb+++=with
surprising ^xvbg+++xvbg+=surprising
consistency ^nn++++=consistency
to ^in++++=to
the ^ati++++=the
central ^jj+atrb+++=central
idea ^nn++++=idea
of ^in++++=of
their ^pp$+pp3+++=their
loathsome ^jj+atrb+++=loathsome
faith ^nn++++=faith.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
worshipped ^vbd+++xvbnx+=worshipped,
, ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Great ^jj+atrb+++=Great
Old ^jj+atrb+++=Old
Ones ^cd1s++++=Ones
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
ages ^nns++++=ages
before ^cs+sub+++=before
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
any ^dti++++=any
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
young ^jj+atrb+++=young
world ^nn++++=world
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
Old ^jj+atrb+++=Old
Ones ^cd1s++++=Ones
were ^vbd+bed+aux++=were
gone ^vpsv++agls+xvbnx+=gone
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
inside ^jjb++++=inside
the ^ati++++=the
earth ^nn++++=earth
and ^cc++++=and
under ^in++++=under
the ^ati++++=the
sea ^nn++++=sea;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
dead ^jj+atrb+++=dead
bodies ^nns++++=bodies
had ^vbd+hvd+aux++=had
told ^vprf+++xvbn+=told
their ^pp$+pp3+++=their
secrets ^nns++++=secrets
in ^in++++=in
dreams ^nps++++=dreams
