' ^zz++++='Way
here ^rn+pl+++=here
all ^abn++++=all
alone ^rb++++=alone
nights ^nns++++=nights,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in++++=on
with ^in++++=with
piteous ^jj+atrb+++=piteous
eagerness ^nns+nom+++=eagerness,
, ^zz++++=EXTRAWORD
" ^zz++++="when
when ^wrb+who+++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
anybody ^pn++++=anybody
in ^in++++=in
my ^pp$+pp1+++=my
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
White ^np++++=White's
's ^$++++=EXTRAWORD
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
a ^at++++=a
way ^nn++++=way
off ^in+strn+++=off."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
married ^vprf+++xvbnx+=married,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
changed ^vprf+++xvbn+=changed
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
entirely ^rb+amp+++=entirely
capable ^jj+pred+++=capable
of ^in++++=of
looking ^nn++++=looking
after ^in++++=after
my ^pp$+pp1+++=my
own ^ap++++=own
business ^nns+nom+++=business,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
in ^in++++=in
a ^at++++=a
hard ^jj+atrb+++=hard
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
held ^vbd+vprv+tht0+xvbnx+=held
her ^pp$+pp3+++=her
head ^nn++++=head
back ^jjb++++=back
and ^cc+phrs+++=and
looked ^jj+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
stiff ^jj+atrb+++=stiff
dignity ^nn+nom+++=dignity
of ^in++++=of
rural ^jj+atrb+++=rural
girlhood ^nn+nom+++=girlhood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
said ^vbd+vpub++xvbn+=said
another ^dt++++=another
word ^nn++++=word.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
away ^rb+phrv+++=away
and ^cc++++=and
went ^vbd+++xvbn+=went
home ^nr++++=home.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
morning ^nn++++=morning
he ^pp3a+pp3+++=he
started ^vbd+++xvbnx+=started
on ^in++++=on
his ^pp$+pp3+++=his
annual ^jj+atrb+++=annual
trip ^nn++++=trip
to ^in++++=to
the ^ati++++=the
Green ^nn++++=Green
Hills ^nns++++=Hills.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
peeping ^vbg+++xvbg+=peeping
around ^rp++++=around
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
her ^pp$+pp3+++=her
window ^nn++++=window-curtain.
- ^zz++++=EXTRAWORD
curtain ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stayed ^vbd+++xvbnx+=stayed
alone ^rb++++=alone
this ^dt+dem+++=this
time ^nn++++=time.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
herself ^ppl+pp3+++=herself
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
Ellen ^np++++=Ellen.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
weeks ^nns++++=weeks
went ^vwbn+++xvbn+=went
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sylvester ^np+nom++??+=Sylvester
had ^vb+hv+aux++=had
not ^xnot++not++=not
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
began ^vbd+++xvbn+=began
to ^to++++=to
watch ^vbi++++=watch
for ^in+ppvb+++=for
him ^pp3o+pp3+++=him
uneasily ^rb+cnj+++=uneasily,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
welcomed ^vprf+++xvbnx+=welcomed
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
afternoon ^nn++++=afternoon
Ellen ^np++++=Ellen
came ^vbd+++xvbn+=came
over ^in++++=over
in ^in++++=in
great ^jj+atrb+++=great
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
heavy ^jj+atrb+++=heavy
face ^nn++++=face
flushed ^vbd+++xvbn+=flushed.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
so ^ql++++=so
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Alice ^np++++=Alice
got ^vbd+++xvbn+=got
it ^pp3+it+++=it
mixed ^vbd+++xvbn+=mixed
up ^rp++++=up.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
brother ^nn++++=brother
instead ^rb+cnj+++=instead
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Sylvester ^np+nom++??+=Sylvester
never ^rb++++=never
did ^vbd+dod+vrb++=did
a ^at++++=a
thing ^nn++++=thing
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
way ^nn++++=way.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
brother ^npt++++=brother
got ^vbd+++xvbn+=got
away ^rb+phrv+++=away
the ^ati++++=the
girl ^nn++++=girl
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
married ^jj+++xvbn+=married
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew
till ^in++++=till
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
all ^abn++++=all
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
deceived ^vbd+++xvbnx+=deceived
him ^pp3o+pp3+++=him
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
made ^vbd+++xvbnx+=made
believe ^vb+vprv+++=believe
to ^to+vcmp+++=to
think ^vbi+vprv+tht0++=think
everything ^pn++++=everything
of ^in++++=of
Sylvester ^np+nom++??+=Sylvester,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
all ^rb++++=all
the ^ati++++=the
while ^cs+sub+++=while
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
brother ^nn++++=brother.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
out ^rp+pl+++=out
he ^pp3a+pp3+++=he
just ^rb+emph+++=just
gave ^vbd+++xvbn+=gave
his ^pp$+pp3+++=his
brother ^npt++++=brother
all ^abn++++=all
his ^pp$+pp3+++=his
share ^nn++++=share
of ^in++++=of
their ^pp$+pp3+++=their
father ^nn++++=father's
's ^$++++=EXTRAWORD
property ^nn++++=property
and ^cc++++=and
came ^vbd+++xvbn+=came
away ^rp+pl+++=away
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
settled ^vbd+++xvbnx+=settled
the ^ati++++=the
money ^nn++++=money
on ^in++++=on
the ^ati++++=the
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
suffer ^vb++++=suffer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv+tht0+xvbnx+=knew
his ^pp$+pp3+++=his
brother ^nn++++=brother
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
support ^nn++++=support
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
lost ^vprf+++xvbnx+=lost
most ^ql+emph+++=most
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
money ^nn++++=money
" ^zz++++="
" ^zz++++="So
so ^ql++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
word ^nn++++=word
of ^in++++=of
it ^pp3+it+++=it
true ^jj++++=true,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ada ^np+++??+=Ada
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stared ^vbd+++xvbnx+=stared
across ^in+pl+++=across
at ^rb++++=at
Noble ^np++++=Noble's
's ^$++++=EXTRAWORD
deserted ^vbd+++xvbn+=deserted
house ^npl++++=house.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
Ellen ^np++++=Ellen
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
over ^in++++=over
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
plunging ^vbg+++xvbg+=plunging
through ^in++++=through
the ^ati++++=the
high ^jj++++=high,
, ^zz++++=EXTRAWORD
damp ^nn++++=damp
tangle ^nn++++=tangle
of ^in++++=of
green ^jj+atrb+++=green
things ^nns++++=things
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
half ^abn++++=half
hope ^vb++++=hope
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
returned ^vprf+++xvbnx+=returned.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knocked ^vbd+++xvbnx+=knocked
on ^in++++=on
the ^ati++++=the
old ^jj+atrb+++=old
door ^nn++++=door.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
paint ^nn++++=paint
on ^in++++=on
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Lilac ^jj+atrb+++=Lilac
trees ^nns++++=trees
grew ^vbd+++xvbn+=grew
thickly ^rb++++=thickly
around ^in++++=around
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
pressing ^vbg+++xvbg+=pressing
against ^in++++=against
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
brushing ^vbg+++xvbg+=brushing
the ^ati++++=the
eaves ^nns++++=eaves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
trembled ^vbd+++xvbn+=trembled
beneath ^in+pl+++=beneath
her ^pp$+pp3+++=her
touch ^nn++++=touch;
; ^zz++++=EXTRAWORD
a ^at++++=a
hollow ^jj+atrb+++=hollow
echo ^nn++++=echo
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
waiting ^vbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
knocked ^vbd+++xvbnx+=knocked
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
home ^nr++++=home.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
ever ^rb++++=ever
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
again ^rb+tm+++=again
" ^zz++++="
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Green ^nn++++=Green
Hills ^nns++++=Hills
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
six ^cd++++=six
miles ^nns++++=miles
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
softly ^rb++++=softly
undulating ^jj+atrb+++=undulating
outlines ^nns++++=outlines
were ^vbd+bed+vrb++=were
visible ^jj+pred+++=visible
against ^in++++=against
the ^ati++++=the
northern ^jj+atrb+++=northern
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
used ^md"++pmd"++=used
to ^to++++=to
sit ^vb++++=sit
gazing ^vbg+++xvbg+=gazing
at ^in++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
little ^ap++++=little
plain ^nn++++=plain
face ^nn++++=face
grew ^vbd+++xvbn+=grew
plainer ^jjr++++=plainer
and ^cc+phrs+++=and
thinner ^jjr++++=thinner.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
weeks ^nns++++=weeks
more ^ql++++=more
passed ^jj+++xvbn+=passed
and ^cc++++=and
Sylvester ^np+nom++??+=Sylvester
had ^vb+hv+aux++=had
not ^xnot++not++=not
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
three ^cd++++=three
weeks ^nns++++=weeks
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning
Ada ^np+++??+=Ada
went ^vbd+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
acknowledged ^vbd+vpub++xvbnx+=acknowledged
to ^in++++=to
herself ^ppl+pp3+++=herself
no ^at++++=no
definite ^jj+atrb+++=definite
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
straight ^jj+atrb+++=straight
road ^npl++++=road
to ^in++++=to
the ^ati++++=the
Green ^nn++++=Green
Hills ^nns++++=Hills.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
well ^rb++++=well.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
kept ^vbd+++xvbnx+=kept
walking ^vbg+++xvbg+=walking.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
emerged ^vbd+++xvbnx+=emerged
from ^in++++=from
the ^ati++++=the
village ^nn+nom+++=village
and ^cc++++=and
passed ^vbd+++xvbn+=passed
scattered ^xvbn+++xvbn+=scattered
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road
lay ^vbd+++xvbn+=lay
along ^in++++=along
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
Green ^nn++++=Green
Hills ^nns++++=Hills.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rose ^vbd+++xvbnx+=rose
from ^in++++=from
it ^pp3+it+++=it
softly ^rb++++=softly
green ^jj++++=green,
, ^zz++++=EXTRAWORD
piny ^nn+++??+=piny
slopes ^nns++++=slopes,
, ^zz++++=EXTRAWORD
interspersed ^j+++xvbn+=interspersed
with ^in++++=with
gray ^np++++=gray
ledges ^nns+++??+=ledges
of ^in++++=of
rock ^nn++++=rock.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
road ^npl++++=road
stood ^vbd+++xvbn+=stood
a ^at++++=a
poor ^jj++++=poor
little ^ap++++=little
dwelling ^jj+++xvbg+=dwelling
with ^in++++=with
some ^dti++++=some
children ^nns++++=children
swarming ^jj++++=swarming
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
stopped ^vbd+++xvbn+=stopped
and ^cc+phrs+++=and
inquired ^vbd+++xvbn+=inquired:
: ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
you ^pp2+pp2+++=you
tell ^vb++++=tell
me ^pp1o+pp1+++=me
where ^wrb+who+++=where
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Noble ^np++++=Noble
stays ^vbz++++=stays
up ^rp++++=up
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
to ^in++++=to
the ^ati++++=the
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
man ^nn++++=man
that ^tht+rel+subj++=that
kills ^vbz++++=kills
snakes ^nns++++=snakes
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
a ^at++++=a
woman ^nn++++=woman
appearing ^vwbg+seem++xvbg+=appearing
in ^in++++=in
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
just ^rb+emph+++=just
go ^vb++++=go
right ^nn++++=right
up ^rp++++=up
that ^dt+dem+++=that
path ^nn++++=path
over ^in++++=over
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
the ^ati++++=the
children ^nns++++=children
go ^vb++++=go,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
so ^ql+emph+++=so
afraid ^jj++++=afraid
of ^in++++=of
snakes ^nns++++=snakes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
killed ^vbd+++xvbnx+=killed
sixteen ^cd++++=sixteen
last ^jj+atrb+++=last
week ^nn++++=week,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
children ^nns++++=children.
. ^zz++++=EXTRAWORD
" ^zz++++="Hold
hold ^nn++++=EXTRAWORD
your ^pp$+pp2+++=your
tongue ^nn++++=tongue!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=didn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither.
. ^zz++++=EXTRAWORD
it ^pp3+it+++0='Twas
was ^vbd+bedz+vrb++=EXTRAWORD
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
weeks ^nns++++=weeks
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
most ^ql+emph+++=most
afraid ^jj+atrb+++=afraid
somethin ^nn+++??+=somethin'
' ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
happened ^vprf+++xvbnx+=happened
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
seen ^vprf+++xvbn+=seen
him ^pp3o+pp3+++=him
for ^in++++=for
so ^ql++++=so
long ^rb++++=long.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
keep ^vb++++=keep
right ^jj++++=right
on ^in++++=on
that ^dt+dem+++=that
path ^nn++++=path.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
a ^at++++=a
house ^nn++++=house
up ^rp++++=up
there ^ex+pex+++=there.
. ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
his ^pp$+pp3+++=his
girl ^nn++++=girl?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
." ^nn++++=EXTRAWORD
