Of ^in++++=Of
was ^vbd+bedz+vrb++=was
absurdly ^rb++++=absurdly
great ^jj+pred+++=great,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
timed ^vprf+++xvbnx+=timed
our ^pp$+pp1+++=our
trip ^nn++++=trip
to ^to++++=to
avoid ^vbi++++=avoid
the ^ati++++=the
solitary ^jj++++=solitary
patrolman ^jj++++=patrolman
of ^in++++=of
that ^dt+dem+++=that
section ^nn+nom+++=section.
. ^zz++++=EXTRAWORD
The ^ati++++=The
result ^nn++++=result
was ^vbd+bedz+vrb++=was
wearily ^rb++++=wearily
anticlimactic ^jj+pred+++=anticlimactic.
. ^zz++++=EXTRAWORD
Ghastly ^jj++++=Ghastly
as ^ql++++=as
our ^pp$+pp1+++=our
prize ^nn++++=prize
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
wholly ^rb++++=wholly
unresponsive ^jj+pred+++=unresponsive
to ^in++++=to
every ^at++++=every
solution ^nn+nom+++=solution
we ^pp1a+pp1+++=we
injected ^vbd+++xvbn+=injected
in ^in++++=in
its ^pp$+it+++=its
black ^jj++++=black
arm ^vb++++=arm;
; ^zz++++=EXTRAWORD
solutions ^nns+nom+++=solutions
prepared ^vwbn+++xvbn+=prepared
from ^in++++=from
experience ^nn+nom+++=experience
with ^in++++=with
white ^jj+atrb+++=white
specimens ^nns++++=specimens
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
So ^ql++++=So
as ^cs+sub+++=as
the ^ati++++=the
hour ^nn++++=hour
grew ^vbd+++xvbn+=grew
dangerously ^rb++++=dangerously
near ^in+cmpx+++=near
to ^in++++=to
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
as ^ql++++=as
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
with ^in++++=with
the ^ati++++=the
others ^aps++++=others
- ^zz++++=-dragged
dragged ^vbd+++xvbn+=EXTRAWORD
the ^ati++++=the
thing ^nn++++=thing
across ^in+pl+++=across
the ^ati++++=the
meadows ^nns++++=meadows
to ^in++++=to
the ^ati++++=the
neck ^nn++++=neck
of ^in++++=of
the ^ati++++=the
woods ^nns++++=woods
near ^in+pl+++=near
the ^ati++++=the
potters ^nns+nom+++=potters
field ^nn++++=field,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buried ^jj+++xvbn+=buried
it ^pp3+it+++=it
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
best ^jjt+atrb+++=best
sort ^nn++++=sort
of ^in++++=of
grave ^nn++++=grave
the ^ati++++=the
frozen ^jj+atrb++xvbn+=frozen
ground ^nn++++=ground
would ^md+prd+++=would
furnish ^vb++++=furnish.
. ^zz++++=EXTRAWORD
The ^ati++++=The
grave ^nn++++=grave
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
very ^ql+amp+++=very
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
fully ^rb+amp+++=fully
as ^in++++=as
good ^jj++++=good
as ^ql++++=as
that ^cs+sub+++=that
of ^in++++=of
the ^ati++++=the
previous ^jj+atrb+++=previous
specimen ^nn++++=specimen
- ^zz++++=-the
the ^ati++++=EXTRAWORD
thing ^nn++++=thing
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
risen ^vwbn+++xvbn+=risen
of ^in++++=of
itself ^ppl++++=itself
and ^cc++++=and
uttered ^vbd+++xvbn+=uttered
a ^at++++=a
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
In ^in+cmpx+++=In
the ^in"++++=the
light ^in"++++=light
of ^in"++++=of
our ^pp$+pp1+++=our
dark ^jj+atrb+++=dark
lanterns ^nns++++=lanterns
we ^pp1a+pp1+++=we
carefully ^rb++++=carefully
covered ^vbd+++xvbn+=covered
it ^pp3+it+++=it
with ^in++++=with
leaves ^nns++++=leaves
and ^cc++++=and
dead ^jj+atrb+++=dead
vines ^nns++++=vines,
, ^zz++++=EXTRAWORD
fairly ^rb++++=fairly
certain ^jj++++=certain
that ^tht+jcmp+++=that
the ^ati++++=the
police ^nns++++=police
would ^md+prd+++=would
never ^rb++splt++=never
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
forest ^npl++++=forest
so ^ql+emph+++=so
dim ^jj++++=dim
and ^cc+phrs+++=and
dense ^jj++++=dense.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
increasingly ^rb++++=increasingly
apprehensive ^jj+pred+++=apprehensive
about ^in++++=about
the ^ati++++=the
police ^nns++++=police,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
patient ^nn++++=patient
brought ^vbd+++xvbn+=brought
rumours ^nns++++=rumours
of ^in++++=of
a ^at++++=a
suspected ^jj+atrb++xvbn+=suspected
fight ^nn++++=fight
and ^cc++++=and
death ^nn++++=death.
. ^zz++++=EXTRAWORD
West ^np+pl+++=West
had ^vb+hv+vrb++=had
still ^rb++++=still
another ^dt++++=another
source ^nn++++=source
of ^in++++=of
worry ^nn++++=worry,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
called ^vpsv++agls+xvbnx+=called
in ^rb+phrv+++=in
the ^ati++++=the
afternoon ^nn++++=afternoon
to ^in++++=to
a ^at++++=a
case ^nn++++=case
which ^whp+rel+subj++=which
ended ^vbd+++xvbn+=ended
very ^ql+amp+++=very
threateningly ^rb++++=threateningly.
. ^zz++++=EXTRAWORD
An ^at++++=An
Italian ^jj+atrb+++=Italian
woman ^nn++++=woman
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
hysterical ^jj++++=hysterical
over ^rp++++=over
her ^pp3o+pp3+++=her
missing ^jj+atrb+++=missing
child ^nn++++=child
- ^zz++++=-a
a ^at++++=EXTRAWORD
lad ^nn++++=lad
of ^in++++=of
f ^zz++++=f
