( ^zz++++=(1855)In
to ^in++++=to
theirprovincial ^jj+atrb+++=theirprovincial
costume ^nn++++=costume,
, ^zz++++=EXTRAWORD
picturesque ^jj++++=picturesque
as ^ql++++=as
any ^dti++++=any
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
relativelyto ^nn+++??+=relativelyto
the ^ati++++=the
pale ^jj+atrb+++=pale
history ^nn++++=history
of ^in++++=of
the ^ati++++=the
voyage ^nn++++=voyage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
own ^ap++++=own
pale ^nn++++=pale
face ^nn++++=face,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
seemedsomething ^jj+++xvbg+=seemedsomething
so ^ql+emph+++=so
incongruous ^jj++++=incongruous
in ^in++++=in
the ^ati++++=the
Spaniard ^np++++=Spaniard's
's ^$++++=EXTRAWORD
apparel ^nn+++??+=apparel,
, ^zz++++=EXTRAWORD
as ^ql++++=as
almost ^rb+hdg+++=almost
to ^in++++=to
suggestthe ^jj+atrb++??+=suggestthe
image ^nn++++=image
of ^in++++=of
an ^at++++=an
invalid ^nn++++=invalid
courtier ^jjr++++=courtier
tottering ^jj+++xvbg+=tottering
about ^in++++=about
London ^np++++=London
streets ^nns++++=streets
in ^in++++=in
thetime ^nn+++??+=thetime
of ^in++++=of
the ^ati++++=the
plague ^nn++++=plague.
. ^zz++++=EXTRAWORD
The ^ati++++=The
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
narrative ^nn++++=narrative
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
excited ^jj+atrb++xvbn+=excited
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
aswell ^nn+++??+=aswell
as ^ql++++=as
some ^dti++++=some
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
the ^ati++++=the
latitudes ^nns++++=latitudes
in ^in++++=in
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
thelong ^nn+++??+=thelong
calms ^vbz++++=calms
spoken ^vprf+++xvbn+=spoken
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
particularly ^rb++++=particularly
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
so ^ql++++=so
long ^rb++++=long
driftingabout ^nn+++??+=driftingabout.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
communicating ^jj++++=communicating
the ^ati++++=the
opinion ^nn++++=opinion,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
the ^ati++++=the
American ^jj+atrb+++=American
couldnot ^nn+++??+=couldnot
but ^cc++++=but
impute ^nn+++??+=impute
at ^rb++++=at
least ^rb"++++=least
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
detentions ^nns+nom+++=detentions
both ^abx++++=both
to ^in++++=to
clumsy ^jj+atrb+++=clumsy
seamanshipand ^nn+++??+=seamanshipand
faulty ^jj+atrb+++=faulty
navigation ^nn+nom+++=navigation.
. ^zz++++=EXTRAWORD
Eying ^np+++??+=Eying
Don ^np++++=Don
Benito ^np++++=Benito's
's ^$++++=EXTRAWORD
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=yellow
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
heeasily ^jj++++=heeasily
inferred ^jj+++xvbn+=inferred
that ^dt+dem+++=that
the ^ati++++=the
young ^jj+atrb+++=young
captain ^npt++++=captain
had ^vb+hv+aux++=had
not ^xnot++not++=not
got ^vprf+++xvbn+=got
into ^in+ppvb+++=into
command ^nn++++=command
at ^rb++++=at
thehawse ^nn+++??+=thehawse-hole,
- ^zz++++=EXTRAWORD
hole ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
cabin ^nn++++=cabin-window;
- ^zz++++=EXTRAWORD
window ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
so ^ql++++=so,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
wonder ^vb++++=wonder
at ^rb++++=at
incompetence,in ^nn+++??+=incompetence,in
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
sickness ^nns+nom+++=sickness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gentility ^nn+nom+++=gentility
united ^np++++=united?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
drowning ^nvbg+++xvbg+=drowning
criticism ^nn+nom+++=criticism
in ^in++++=in
compassion ^nn++++=compassion,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
fresh ^jj+atrb+++=fresh
repetition ^nn+nom+++=repetition
of ^in++++=of
hissympathies ^nns+++??+=hissympathies,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Delano ^np+++??+=Delano,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
heard ^vprf+++xvbn+=heard
out ^rp+pl+++=out
his ^pp$+pp3+++=his
story ^nn++++=story,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
onlyengaged ^jj+++xvbn+=onlyengaged,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
the ^ati++++=the
first ^od++++=first
place ^nn++++=place,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
Don ^npt++++=Don
Benito ^np+++??+=Benito
and ^cc++++=and
his ^pp$+pp3+++=his
peoplesupplied ^jj+++xvbn+=peoplesupplied
in ^in++++=in
their ^pp$+pp3+++=their
immediate ^jj+atrb+++=immediate
bodily ^jj+atrb+++=bodily
needs ^nns++++=needs,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
fartherpromised ^vbd+++xvbn+=fartherpromised
to ^to++++=to
assist ^vbi++++=assist
him ^pp3o+pp3+++=him
in ^in++++=in
procuring ^xvbg+++xvbg+=procuring
a ^at++++=a
large ^jj+atrb+++=large
permanent ^jj+atrb+++=permanent
supply ^nn++++=supply
of ^in++++=of
water,as ^vbz+++??+=water,as
well ^jj+pred+++=well
as ^ql++++=as
some ^dti++++=some
sails ^nns++++=sails
and ^cc++++=and
rigging ^nn++++=rigging;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
would ^md+prd+++=would
involve ^vb++++=involve
no ^at++++=no
smallembarrassment ^nn+nom+++=smallembarrassment
to ^in++++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
would ^md+prd+++=would
spare ^vb++++=spare
three ^cd++++=three
of ^in++++=of
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
seamenfor ^nn++++=seamenfor
temporary ^jj+atrb+++=temporary
deck ^nn++++=deck
officers ^nns+nom+++=officers;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
without ^in++++=without
delay ^nn++++=delay
the ^ati++++=the
ship ^nn++++=ship
mightproceed ^vbd+++xvbn+=mightproceed
to ^in++++=to
Conception ^nn+nom+++=Conception,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
fully ^rb+amp+++=fully
to ^in++++=to
refit ^nn++++=refit
for ^in++++=for
Lima ^np++++=Lima,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
destined ^vbd+++xvbn+=destined
port ^npl++++=port.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
generosity ^nn+nom+++=generosity
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
without ^in++++=without
its ^pp$+it+++=its
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
even ^rb++++=even
upon ^in++++=upon
the ^ati++++=the
invalid ^nn++++=invalid.
. ^zz++++=EXTRAWORD
Hisface ^np+++??+=Hisface
lighted ^vbd+++xvbn+=lighted
up ^rp++++=up;
; ^zz++++=EXTRAWORD
eager ^jj++++=eager
and ^cc+phrs+++=and
hectic ^jj++++=hectic,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
the ^ati++++=the
honest ^jj+atrb+++=honest
glance ^nn++++=glance
of ^in++++=of
hisvisitor ^nn++++=hisvisitor.
. ^zz++++=EXTRAWORD
With ^in++++=With
gratitude ^nn++++=gratitude
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
overcome ^vbd+++xvbn+=overcome.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
excitement ^nn+nom+++=excitement
is ^vbz+bez+vrb++=is
bad ^jj+pred+++=bad
for ^in++++=for
master ^nn++++=master,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
the ^ati++++=the
servant ^nn+nom+++=servant,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
hisarm ^nn+++??+=hisarm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
soothing ^jj+atrb+++=soothing
words ^nns++++=words
gently ^rb++++=gently
drawing ^nvbg+++xvbg+=drawing
him ^pp3o+pp3+++=him
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Don ^np++++=Don
Benito ^np+++??+=Benito
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
the ^ati++++=the
American ^nn+nom+++=American
was ^vbd+bedz+vrb++=was
pained ^jj+pred+++=pained
to ^to++++=to
observe ^vbi+vprv+++=observe
that ^tht+vcmp+++=that
hishopefulness ^nns+nom+++=hishopefulness,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
sudden ^jj+atrb+++=sudden
kindling ^nn+nom+++=kindling
in ^in++++=in
his ^pp$+pp3+++=his
cheek ^nn++++=cheek,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
but ^cc++++=but
febrile ^jj+++??+=febrile
andtransient ^jj++++=andtransient.
. ^zz++++=EXTRAWORD
Ere ^np+++??+=Ere
long ^jj++++=long,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
joyless ^jj++++=joyless
mien ^jj+++xvbn+=mien,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
up ^rp++++=up
towards ^in++++=towards
the ^ati++++=the
poop ^nn+++??+=poop,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hostinvited ^jj+++xvbn+=hostinvited
his ^pp$+pp3+++=his
guest ^nn++++=guest
to ^to++++=to
accompany ^vbi++++=accompany
him ^pp3o+pp3+++=him
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
benefit ^nn++++=benefit
of ^in++++=of
what ^wdt+who+++=what
littlebreath ^nn+++??+=littlebreath
of ^in++++=of
wind ^nn++++=wind
might ^md+pos+++=might
be ^vb+be+aux++=be
stirring ^vbg+++xvbgx+=stirring.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
telling ^nn++++=telling
of ^in++++=of
the ^ati++++=the
story ^nn++++=story,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Delano ^np+++??+=Delano
had ^vb+hv+vrb++=had
once ^rb+tm+++=once
or ^cc++++=or
twicestarted ^jj+++xvbn+=twicestarted
at ^rb++++=at
the ^ati++++=the
occasional ^jj+atrb+++=occasional
cymballing ^nn+nom+++=cymballing
of ^in++++=of
the ^ati++++=the
hatchet ^nn++++=hatchet-polishers,
- ^zz++++=EXTRAWORD
polishers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
wonderingwhy ^nn++++=wonderingwhy
such ^abl++++=such
an ^at++++=an
interruption ^nn+nom+++=interruption
should ^md+nec+++=should
be ^vb+be+vrb++=be
a ^at++++=a
